421,Fire,8x01
422,Med,5x02
423,Fire,8x02
424,PD,7x02
425,Med,5x03
426,Fire,8x03
427,PD,7x03
428,Fire,8x04
429,Med,5x04
430,PD,7x04
431,Fire,8x05
432,Med,5x05
433,Med,5x06
434,PD,7x05
435,Fire,8x06
436,Med,5x07
437,PD,7x06
438,Med,5x08
439,Fire,8x07
440,Med,5x09
441,PD,7x07
442,Fire,8x08
443,PD,7x08
444,Fire,8x09
445,Fire,8x10
446,Fire,8x11
447,PD,7x09
448,PD,7x10
449,Med,5x10
450,Med,5x11
451,PD,7x11
452,Med,5x12
453,Fire,8x12
454,PD,7x12
455,Med,5x13
456,Fire,8x13
457,PD,7x13
458,PD,7x14
459,Fire,8x14
460,Med,5x14
461,Med,5x15
462,Fire,8x15
463,PD,7x15
464,Med,5x16
465,Fire,8x16
466,PD,7x16
467,Fire,8x17
468,PD,7x17
469,Med,5x17
470,Fire,8x18
471,Med,5x18
472,PD,7x18
473,FBI,2x19
474,Fire,8x19
475,PD,7x19
476,Med,5x19
477,Fire,8x20
478,Med,5x20
479,PD,7x20
